,dataset,max_fic,Average Score,batchsize,dropout_patch,dropout_node,bal_average,f1_marco,f1_mirco,p_marco,p_mirco,r_marco,r_mirco
0,ArticularyWordRecognition,2.0,0.9933,64,0.5,0.2,0.9933,0.9933,0.9933,0.9938,0.9933,0.9933,0.9933
1,AtrialFibrillation,2.0,0.5333,64,0.5,0.2,0.5333,0.4977,0.5333,0.8056,0.5333,0.5333,0.5333
2,BasicMotions,2.0,1.0,64,0.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,CharacterTrajectories,2.0,0.9986,64,0.5,0.2,0.9984,0.9984,0.9986,0.9985,0.9986,0.9984,0.9986
4,Cricket,2.0,1.0,64,0.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,DuckDuckGeese,2.0,0.68,64,0.5,0.2,0.68,0.6726,0.68,0.7291,0.68,0.68,0.68
6,ERing,2.0,0.937,64,0.5,0.2,0.937,0.9363,0.937,0.9404,0.937,0.937,0.937
7,EigenWorms,2.0,0.8702,64,0.5,0.2,0.7827,0.7877,0.8702,0.8375,0.8702,0.7827,0.8702
8,Epilepsy,2.0,0.9928,64,0.5,0.2,0.9932,0.993,0.9928,0.9929,0.9928,0.9932,0.9928
9,EthanolConcentration,2.0,0.3878,64,0.5,0.2,0.3879,0.3875,0.3878,0.3933,0.3878,0.3879,0.3878
10,FaceDetection,2.0,0.6799,64,0.5,0.2,0.6799,0.6795,0.6799,0.6807,0.6799,0.6799,0.6799
11,FingerMovements,2.0,0.68,64,0.5,0.2,0.6811,0.6795,0.68,0.6828,0.68,0.6811,0.68
12,HandMovementDirection,2.0,0.527,64,0.5,0.2,0.4738,0.4824,0.527,0.5198,0.527,0.4738,0.527
13,Handwriting,2.0,0.6235,64,0.5,0.2,0.6253,0.6111,0.6235,0.6557,0.6235,0.6253,0.6235
14,Heartbeat,2.0,0.8195,64,0.5,0.2,0.7456,0.7601,0.8195,0.7832,0.8195,0.7456,0.8195
15,InsectWingbeat,2.0,0.7131,64,0.5,0.2,0.7131,0.7109,0.7131,0.7132,0.7131,0.7131,0.7131
16,JapaneseVowels,2.0,0.9919,64,0.5,0.2,0.9902,0.9913,0.9919,0.9926,0.9919,0.9902,0.9919
17,LSST,2.0,0.6642,64,0.5,0.2,0.4414,0.4326,0.6642,0.5187,0.6642,0.4414,0.6642
18,Libras,2.0,0.8222,64,0.5,0.2,0.8222,0.8201,0.8222,0.8315,0.8222,0.8222,0.8222
19,MotorImagery,2.0,0.65,64,0.5,0.2,0.65,0.6267,0.65,0.7,0.65,0.65,0.65
20,NATOPS,2.0,0.9944,64,0.5,0.2,0.9944,0.9944,0.9944,0.9946,0.9944,0.9944,0.9944
21,PEMS-SF,2.0,0.7919,64,0.5,0.2,0.7991,0.7905,0.7919,0.8038,0.7919,0.7991,0.7919
22,PenDigits,2.0,0.9886,64,0.5,0.2,0.9887,0.9887,0.9886,0.989,0.9886,0.9887,0.9886
23,PhonemeSpectra,2.0,0.3158,64,0.5,0.2,0.3159,0.3017,0.3158,0.3221,0.3158,0.3159,0.3158
24,RacketSports,2.0,0.9079,64,0.5,0.2,0.9147,0.912,0.9079,0.9119,0.9079,0.9147,0.9079
25,SelfRegulationSCP1,2.0,0.901,64,0.5,0.2,0.901,0.901,0.901,0.9012,0.901,0.901,0.901
26,SelfRegulationSCP2,2.0,0.6167,64,0.5,0.2,0.6167,0.6164,0.6167,0.617,0.6167,0.6167,0.6167
27,SpokenArabicDigits,2.0,1.0,64,0.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,StandWalkJump,2.0,0.7333,64,0.5,0.2,0.7333,0.7286,0.7333,0.7917,0.7333,0.7333,0.7333
29,UWaveGestureLibrary,2.0,0.9031,64,0.5,0.2,0.9031,0.9021,0.9031,0.9053,0.9031,0.9031,0.9031
